"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","is_norming","monolingual","typically_developing"
2022-11-05,"English (American)","WS","WS",245535,18,16,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245653,136,16,"production",72,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245663,146,16,"production",36,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245792,275,16,"production",7,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",245996,479,16,"production",182,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246078,561,16,"production",80,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246085,568,16,"production",6,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246301,784,16,"production",27,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246302,785,16,"production",24,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246318,801,16,"production",115,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246327,810,16,"production",23,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246342,825,16,"production",357,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246475,958,16,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246476,959,16,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246477,960,16,"production",107,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246502,985,16,"production",41,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246509,992,16,"production",112,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246523,1006,16,"production",7,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246536,1019,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246539,1022,16,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246540,1023,16,"production",10,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246541,1024,16,"production",90,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246548,1031,16,"production",21,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246559,1042,16,"production",31,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246596,1079,16,"production",129,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246774,1257,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246783,1266,16,"production",50,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246785,1268,16,"production",60,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246797,1280,16,"production",45,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246802,1285,16,"production",10,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246803,1286,16,"production",42,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246804,1287,16,"production",82,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246857,1340,16,"production",27,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246908,1391,16,"production",67,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",246987,1470,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",247038,1521,16,"production",66,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252855,84447,16,"production",80,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252932,84524,16,"production",4,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252972,84564,16,"production",65,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",252976,84568,16,"production",18,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253037,84629,16,"production",46,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253041,84633,16,"production",25,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253046,84638,16,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253047,84639,16,"production",22,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253050,84642,16,"production",85,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253051,84643,16,"production",13,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253063,84655,16,"production",31,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253065,84657,16,"production",33,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253066,84658,16,"production",0,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253069,84661,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253070,84662,16,"production",7,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253071,84663,16,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253073,84665,16,"production",12,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253074,84666,16,"production",16,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253075,84667,16,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253076,84668,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253077,84669,16,"production",11,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253079,84671,16,"production",154,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253080,84672,16,"production",33,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253081,84673,16,"production",15,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253084,84676,16,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253085,84677,16,"production",9,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253086,84678,16,"production",12,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253088,84680,16,"production",177,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253090,84682,16,"production",105,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253091,84683,16,"production",12,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253092,84684,16,"production",17,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253095,84687,16,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253096,84688,16,"production",25,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253106,84698,16,"production",29,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253107,84699,16,"production",77,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253109,84701,16,"production",19,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253110,84702,16,"production",5,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253111,84703,16,"production",18,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253142,84734,16,"production",27,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253148,84740,16,"production",8,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253162,84754,16,"production",12,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253173,84765,16,"production",57,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253177,84769,16,"production",14,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253189,84781,16,"production",23,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253260,84852,16,"production",26,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253262,84854,16,"production",116,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253276,84868,16,"production",14,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253280,84872,16,"production",107,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253302,84894,16,"production",28,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253317,84909,16,"production",421,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253330,84922,16,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253581,85173,16,"production",79,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",253723,85315,16,"production",47,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254056,85648,16,"production",5,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254057,85649,16,"production",29,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254061,85653,16,"production",34,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254062,85654,16,"production",67,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254064,85656,16,"production",65,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254067,85659,16,"production",54,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254070,85662,16,"production",117,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254071,85663,16,"production",22,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254072,85664,16,"production",48,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254074,85666,16,"production",38,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254446,86038,16,"production",42,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254493,86085,16,"production",61,3625,TRUE,TRUE,TRUE,TRUE
2022-11-05,"English (American)","WS","WS",254499,86091,16,"production",94,3625,TRUE,TRUE,TRUE,TRUE
