Word,N_CBOI_raters,CBOI_Mean,CBOI_SD
pajamas,26,7,0
toothbrush,24,7,0
toy,28,7,0
clothes,27,6.962962963,0.19245009
bread,26,6.961538462,0.196116135
crayon,25,6.96,0.2
finger,46,6.956521739,0.206184571
plate,23,6.956521739,0.208514414
ball,44,6.954545455,0.210707055
spoon,44,6.931818182,0.254971706
apple,27,6.925925926,0.266880256
book,26,6.923076923,0.271746488
pencil,34,6.911764706,0.378805704
mouth,33,6.909090909,0.291937104
banana,32,6.90625,0.390150922
boots,47,6.893617021,0.374980727
cereal,28,6.892857143,0.416269652
jacket,35,6.885714286,0.322802851
clothing,26,6.884615385,0.431455497
bicycle,25,6.88,0.331662479
sandwich,25,6.88,0.331662479
dad,24,6.875,0.612372436
breakfast,23,6.869565217,0.457696587
bowl,30,6.866666667,0.345745904
cup,42,6.857142857,0.417391936
pants,28,6.857142857,0.59093684
boot,26,6.846153846,0.464095481
grandparents,25,6.84,0.374165739
mittens,25,6.84,0.6244998
playground,25,6.84,0.472581563
food,29,6.827586207,0.601721668
bike,23,6.826086957,0.576208131
daddy,23,6.826086957,0.650326765
sock,23,6.826086957,0.49102619
shoe,33,6.818181818,0.583874208
pillow,27,6.814814815,0.622466375
blanket,25,6.8,0.5
box,25,6.8,0.645497224
fork,25,6.8,0.5
potato chip,25,6.8,0.707106781
towel,30,6.8,0.610257153
snowman,29,6.793103448,0.619868093
door,24,6.791666667,0.832970936
strawberry,24,6.791666667,0.588229966
chair,28,6.785714286,0.568112069
grass,23,6.782608696,0.599736438
shirt,23,6.782608696,0.735868179
pancake,26,6.769230769,0.651625187
thumb,30,6.766666667,0.678910554
water,25,6.76,1.011599394
yogurt,25,6.76,0.663324958
hand,28,6.75,1.004618962
pizza,24,6.75,0.607918759
dish,27,6.740740741,0.525693139
toilet,27,6.740740741,1.163304067
paper,23,6.739130435,0.619192385
teddy bear,30,6.733333333,0.907187139
face,26,6.730769231,0.666794859
kid,25,6.72,0.890692614
milk,25,6.72,1.208304597
rock,25,6.72,0.613731755
toe,25,6.72,0.613731755
hair,284,6.718309859,0.896528028
fruit,284,6.714788732,0.87343578
cake,28,6.714285714,0.854493259
drink,24,6.708333333,0.907896119
popcorn,27,6.703703704,0.823445613
blankets,46,6.695652174,0.865885936
mirror,23,6.695652174,0.764840008
bathtub,36,6.694444444,0.749073502
brush,39,6.692307692,0.893068223
ice cream,45,6.688888889,0.848051838
nose,44,6.681818182,0.770766072
slipper,25,6.68,0.748331477
soap,25,6.68,0.748331477
tooth,25,6.68,0.9
bath,28,6.678571429,0.944911183
bed,27,6.666666667,1.176696811
leg,27,6.666666667,1
tree,30,6.666666667,0.922266075
head,44,6.659090909,1.237837233
flower,23,6.652173913,1.152416262
grandma,25,6.64,0.757187779
popsicle,25,6.64,0.907377173
furniture,26,6.615384615,0.697247335
straw,26,6.615384615,0.897860705
ear,31,6.612903226,0.803219329
bubbles,23,6.608695652,0.656376447
knee,23,6.608695652,0.838783233
snack,23,6.608695652,0.722315119
zipper,46,6.608695652,0.881369159
noodles,28,6.607142857,1.257254084
mommy,25,6.6,1.290994449
tomato,25,6.6,0.866025404
couch,32,6.59375,1.011526314
ladybug,32,6.59375,0.756024193
button,29,6.586206897,0.982607369
french fries,24,6.583333333,0.974307632
painting,24,6.583333333,0.928611243
grandpa,45,6.577777778,0.988315575
kitty,26,6.576923077,0.702741883
table,33,6.575757576,0.791766341
carrot,28,6.571428571,0.878912267
lunch,23,6.565217391,1.036869719
notebook,25,6.56,0.960902354
paint,25,6.56,0.916515139
egg,34,6.558823529,0.704581392
mama,27,6.555555556,1.28102523
